"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI2213";"Marabá";"Parauapebas";"Grupo 2";"Nova Vida";"1";"800";"prefeitura";"2020";"1";"A?rea de loteamento irregular e favela, com a?reas de risco, pois são localizadas em encosta de morro";;"4";"3";"3";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"1";"-";"2";;"1";"Predominam lotes bem definidos, com alta ocupação";"2";"casas populares e diferentes estágios";"2";"ausência de saneamento";"de 701 a 2.000"
"NUI2214";"Marabá";"Parauapebas";"Grupo 2";"Nova Vitória";"1";"700";"Estimativa dos técnicos municipais";"2020";"1";;;"3";"1";"1";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"DESLIZAMENTO/MOVIMENTO DE MASSA";"1";"-";"3";;"3";;"3";;"3";;"de 100 a 700"
"NUI2220";"Marabá";"Parauapebas";"Grupo 2";"Altamira B";"1";"100";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"3";"2";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"inundação";"1";"-";"2";;"4";;"1";;"2";;"de 100 a 700"
"NUI2221";"Marabá";"Parauapebas";"Grupo 2";"Bairro da Paz";"1";"600";"Estimativa dos técnicos municipais";"2020";"1";;;"4";"3";"3";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"2";"Está a margem de um córrego.";"1";"-";"2";;"2";"3";"1";;"2";"Intervenção necessária - Remoção (REQUALIFICAÇÃO DO AUTO DE DEMERCAÇÃO)";"de 100 a 700"
"NUI2211";"Marabá";"Parauapebas";"Grupo 2";"Lot. Vila Rica";"1";"300";"Estimativa dos técnicos municipais";"2020";"3";"lotes doados pela prefeitura, exceção irregularidade urbanística (infraestrutura incompleta)";;"3";"3";"2";"1";"5";"Área Protegida - municipal";"1";"Prefeitura";"Pesquisa de Campo";"2";;"1";"-";"1";;"1";;"4";"acima do padrão popular";"2";"ausência de saneamento";"de 100 a 700"
"NUI2219";"Marabá";"Parauapebas";"Grupo 2";"Altamira A";"1";"1000";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"3";"2";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"2";"considerado não consolidável pelo PLHIS, pois está a margem de um córrego";"1";"-";"1";;"3";"4";"1";;"2";"Intervenção necessária - Adequação de UHs, adequação de sistema viário e regularização urbanística e fundiária do loteamento";"de 701 a 2.000"
"NUI2225";"Marabá";"Parauapebas";"Grupo 2";"Liberdade I A/I B/II";"1";"1475";"CADUNICO";"2020";"1";"1 e 2 - há presença de loteamentos irregulares tb";;"4";"3";"3";"2";"3";;"1";"FBDS";;"3";"DESLIZAMENTO /
MOVIMENTO DE MASSA e INUNDAÇÃO";"1";"-";"2";;"2";"3";"2";;"2";"Intervenção necessária - Remoção (DESAPROPRIADO, N HÁ REGISTRO DO AUTO DE DEMARCAÇÃO)";"de 701 a 2.000"
"NUI2218";"Marabá";"Parauapebas";"Grupo 2";"VS 10";"1";"412";"Censo IBGE";"2010";"2";"loteamento pop";;"3";"3";"2";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"inundação";"1";"-";"2";;"2";"3";"1";;"1";;"de 100 a 700"
"NUI2264";"Marabá";"São João do Araguaia";"Grupo 4";"Morro do Zoologico";"1";"205";"CADUNICO";"2020";"1";;;"4";"3";"3";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"2";"-";"4";;"3";;"3";;"3";;"de 100 a 700"
"NUI2263";"Marabá";"São João do Araguaia";"Grupo 4";"NUC Recente São João do Araguaia";"1";"100";"Estimativa dos técnicos municipais";"2020";"1";;;"3";"2";"3";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"2";"-";"4";;"3";;"1";;"2";;"de 100 a 700"
"NUI2253";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Vila Betel";"1";"30";"Estimativa dos técnicos municipais";"2020";"4";;;"4";"3";"1";"4";"5";"Área Protegida - municipal";"0";"FBDS";"menos de 1%";"2";;"1";"-";"1";;"3";;"2";;"3";;"até 50"
"NUI2260";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Bairro Menez";"1";"40";"Estimativa dos técnicos municipais";"2020";"2";"Chacreamento";"também tem loteamento";"3";"2";"2";"4";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"1";"-";"2";;"1";;"1";;"3";;"até 50"
"NUI2258";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Bairro Açaizal (parcialmente)";"1";"50";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"2";"2";"4";"5";"Área Protegida - municipal";"0";;;"2";;"1";"-";"1";;"1";;"1";;"3";;"até 50"
"NUI2257";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Bairro Bragantino (parcialmente)";"1";"150";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"1";"3";"4";"5";"Área Protegida - municipal";"0";;;"2";;"1";"-";"1";;"1";;"1";;"3";;"de 100 a 700"
"NUI2254";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Vila Almescão II";"1";"40";"Estimativa dos técnicos municipais";"2020";"4";;;"4";"3";"1";"4";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"1";"-";"1";;"3";;"2";;"3";;"até 50"
"NUI2252";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Vila 43";"1";"60";"Estimativa dos técnicos municipais";"2020";"4";;;"4";"3";"1";"4";"5";"Área Protegida - municipal";"0";;;"2";;"1";"-";"1";;"3";;"2";;"3";;"de 51 a 99"
"NUI2250";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Vila Santana";"1";"500";"Estimativa dos técnicos municipais";"2020";"4";;;"4";"4";"1";"4";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"1";"-";"1";;"3";;"2";;"1";;"de 100 a 700"
"NUI2255";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Vila Cacau";"1";"25";"Estimativa dos técnicos municipais";"2020";"4";;;"4";"3";"1";"4";"5";"Área Protegida - municipal";"0";;;"2";;"1";"-";"1";;"3";;"2";;"3";;"até 50"
"NUI2249";"Marabá";"Rondon do Pará";"Grupo 3";"Área de reserva no Novo Horizonte";"1";"60";"Prefeitura";"2020";"1";;;"2";"3";"2";"2";"1";;"1";"FBDS";;"2";;"1";"-";"1";;"1";;"1";;"2";"Não há previsão de regularizar imóveis desta área";"de 51 a 99"
"NUI2262";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Loteamentos Guinhaci";"1";"40";"Estimativa dos técnicos municipais";"2020";"2";;;"3";"2";"2";"4";"5";"Área Protegida - municipal";"0";;;"2";;"1";"-";"1";;"1";;"4";"Casas de classe média e de qualidade";"2";"Loteamento classe média";"até 50"
"NUI2248";"Marabá";"Rondon do Pará";"Grupo 3";"Nova Rondon";"1";"250";"Prefeitura";"2020";"2";;;"3";"3";"3";"1";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
"NUI2247";"Marabá";"Rondon do Pará";"Grupo 3";"Loteamento Reserva do Bosque";"1";"30";"Prefeitura";"2020";"1";;;"2";"1";"2";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"2";;"1";"-";"1";;"1";;"1";;"2";"Possui projeto de parcelamento em tramitação na Prefeitura";"até 50"
"NUI2261";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Bairro Paraná";"1";"100";"Estimativa dos técnicos municipais";"2020";"2";;;"3";"1";"2";"4";"5";"Área Protegida - municipal";"0";;;"2";;"1";"-";"1";;"1";;"2";;"2";"Está em processo de regularização";"de 100 a 700"
"NUI2251";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Vila São Benedito";"1";"150";"Estimativa dos técnicos municipais";"2020";"4";;;"4";"3";"1";"4";"5";"Área Protegida - municipal";"1";"s/i";"Pesquisa de Campo";"3";"alagamento";"1";"-";"1";;"3";;"2";;"3";;"de 100 a 700"
"NUI2259";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Setor aeroporto (parcialmente)";"1";"25";"Estimativa dos técnicos municipais";"2020";"1";;;"4";"1";"2";"4";"5";"Área Protegida - municipal";"0";;;"2";;"1";"-";"1";;"1";;"3";;"3";"Prefeitura";"até 50"
"NUI2256";"Marabá";"São Domingos do Araguaia";"Grupo 3";"Bairro Jardim Vitória";"1";"50";"Estimativa dos técnicos municipais";"2020";"2";;;"2";"1";"2";"4";"5";"Área Protegida - municipal";"0";;;"2";;"1";"-";"1";;"1";;"1";;"3";"Loteamento classe baixa";"até 50"
"NUI2069";"Marabá";"Canaã dos Carajás";"Grupo 3";"Portal do Sol";"1";"249";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"2";"Não";"1";"-";"1";;"2";;"4";;"1";;"de 100 a 700"
"NUI2091";"Marabá";"Canaã dos Carajás";"Grupo 3";"Alvorada II";"1";"12";"Censo IBGE";"2010";"2";;;"3";"2";"2";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"Inundação";"1";"-";"1";"O perímetro do NUI é maior que a áera ocupada.";"1";;"4";;"1";;"até 50"
"NUI2089";"Marabá";"Canaã dos Carajás";"Grupo 3";"Vale da Benção";"1";"900";"Estimativa dos técnicos municipais";"2020";"1";;;"3";"3";"2";"1";"5";"Área Protegida - municipal";"1";"FBDS";;"2";"Não";"1";"-";"2";;"1";;"4";;"1";;"de 701 a 2.000"
"NUI2086";"Marabá";"Canaã dos Carajás";"Grupo 3";"Nova Canaã II";"1";"360";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"3";"2";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"2";"Não";"1";"-";"1";;"2";;"4";;"1";;"de 100 a 700"
"NUI2084";"Marabá";"Canaã dos Carajás";"Grupo 3";"Jardim Florido";"1";"21";"CADUNICO";"2020";"2";;;"4";"3";"2";"2";"5";"Área Protegida - municipal";"1";"FBDS";;"3";"Inundação";"1";"-";"1";;"2";;"4";;"1";;"até 50"
"NUI2085";"Marabá";"Canaã dos Carajás";"Grupo 3";"Montes Belos II";"1";"62";"Censo IBGE";"2010";"2";;;"4";"3";"2";"2";"5";"Área Protegida - municipal";"0";;;"2";"Não";"1";"-";"1";;"2";;"4";;"3";;"de 51 a 99"
"NUI2064";"Marabá";"Canaã dos Carajás";"Grupo 3";"Estância Feliz";"1";"111";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"0";;;"2";"Não";"1";"-";"1";;"1";;"4";;"1";;"de 100 a 700"
"NUI2066";"Marabá";"Canaã dos Carajás";"Grupo 3";"Liberdade";"1";"95";"Estimativa dos técnicos municipais";"2020";"2";;;"4";"3";"3";"1";"5";"Área Protegida - municipal";"0";;;"2";"Não";"1";"-";"1";;"2";;"4";;"1";;"de 51 a 99"
