"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI1497";"Brasília";"Brasília";"Grupo 1";"Expansão Sol Nascente";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"48";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"3";"2";"3";;"1";"FBDS";;"3";"Risco 5 - Erosão (25%); Pontos de alagamentos.";"1";"-";"2";;"1";;"2";;"2";"Déficit de drenagem pluvial, iluminação pública e pavimentação; esgotamento por fossa.";"até 50"
"NUI1496";"Brasília";"Brasília";"Grupo 1";"IX-08-M1";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"15";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"1";"2";"3";;"1";"FBDS";;"3";"Risco 5 - Erosão (50%)";"1";"-";"2";"Vias veiculares estruturam o NUI, com acesso aos lotes, mas sem caixa de via adequadas";"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1495";"Brasília";"Brasília";"Grupo 1";"IX-05-VIS";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"23";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"2";;"1";"-";"2";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1494";"Brasília";"Brasília";"Grupo 1";"IX-04-M1";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"35";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"3";"Risco 5 - Erosão (10%)";"1";"-";"3";"Vias veiculares estruturam o NUI, com acesso aos lotes, mas sem caixa de via adequadas";"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1485";"Brasília";"Brasília";"Grupo 1";"IV-32-M1 - Núcleo Urbano Brazlândia";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"9";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"3";"2";"3";;"0";;;"2";;"1";"-";"1";;"3";;"1";;"1";;"até 50"
"NUI1484";"Brasília";"Brasília";"Grupo 1";"IV-31-M1 - Núcleo Urbano Brazlândia";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"12";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"3";"2";"3";;"0";;;"2";;"1";"-";"1";;"3";;"1";;"2";"Trecho com déficit de drenagem pluvial, pavimentação.";"até 50"
"NUI1483";"Brasília";"Brasília";"Grupo 1";"IV-30-M1";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"15";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"3";"3";"2";"2";"3";;"0";;;"2";;"1";"-";"2";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1482";"Brasília";"Brasília";"Grupo 1";"IV-25-M1 - Núcleo Urbano Brazlândia";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"9";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"3";"2";"8";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"1";;"até 50"
"NUI1473";"Brasília";"Brasília";"Grupo 1";"II-19-M1";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"13";"CADUNICO";"2020";"2";;;"4";"3";"2";"2";"3";;"0";;;"3";"Risco 5 - Erosão";"1";"-";"2";"Vias veiculares estruturam o NUI, com acesso aos lotes, mas sem caixa de via adequadas";"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1472";"Brasília";"Brasília";"Grupo 1";"II-17-M1";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"10";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"2";"2";"3";;"0";;;"3";"Risco 4 - Erosão";"1";"-";"3";"Vias veiculares estruturam o NUI, com acesso aos lotes, mas sem caixa de via adequadas";"3";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1471";"Brasília";"Brasília";"Grupo 1";"II-16-M1";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"12";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"2";"2";"3";;"0";;;"2";;"1";"-";"3";;"3";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1470";"Brasília";"Brasília";"Grupo 1";"Recanto do Jaburu/Acampamento EBE";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"89";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"3";"2";"1";;"0";;;"2";;"1";"-";"2";"Vias veiculares estruturam o NUI, com acesso aos lotes, mas sem caixa de via adequadas";"3";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 51 a 99"
"NUI1460";"Brasília";"Brasília";"Grupo 1";"Vista Bela PICAG 4/492 e 4/493";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"297";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"3";"Risco 5 - Erosão (30%)";"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1671";"Brasília";"Brasília";"Grupo 1";"XXI-10-M6";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"14";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"1";;;"3";"3";"2";"2";"1";;"0";;;"2";;"1";"-";"2";;"4";;"3";;"2";"Déficit de drenagem pluvial, iluminação pública e pavimentação; esgotamento por fossa.";"até 50"
"NUI1458";"Brasília";"Brasília";"Grupo 1";"Residencial Vitória";"3 - PDOT - 2009 (PUI); GEOPORTAL - GDF; diagnóstico e mapa geral dos parcelamentos (2006).";"125";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"3";"Risco 4 - Erosão";"1";"-";"1";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1461";"Brasília";"Brasília";"Grupo 1";"Incra 9";"3 - PUI/SEDUH/DF";"190";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"2";;"1";"-";"1";"Vias veiculares estruturam o NUI, com acesso aos lotes, mas sem caixa de via adequadas";"1";;"4";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1672";"Brasília";"Brasília";"Grupo 1";"Expansão Quadra 13 Park Way";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"25";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"2";"2";"1";;"0";;;"3";"Risco 5 - Erosão (20%)";"1";"-";"2";"Vias veiculares estruturam o NUI, com acesso aos lotes, mas sem caixa de via adequadas";"3";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1675";"Brasília";"Brasília";"Grupo 1";"Setor de Inflamáveis";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"339";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"2";"2";"1";;"0";;;"3";"Pontos de alagamentos";"1";"-";"2";"Vias veiculares estruturam o NUI, com acesso aos lotes, mas sem caixa de via adequadas";"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
"NUI1670";"Brasília";"Brasília";"Grupo 1";"Expansão CAUB I";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"6";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"4";"3";"1";"2";"3";;"0";;;"3";"Pontos de alagamentos";"1";"-";"2";;"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"até 50"
"NUI1673";"Brasília";"Brasília";"Grupo 1";"Coqueiro";"3 - sde - siturb - Ocupações Informais-SEDUH/DF";"67";"sde - siturb - Ocupações Informais-SEDUH/DF";"jan-21";"2";;;"3";"3";"2";"2";"3";;"0";;;"3";"Risco 5 - Erosão (90%)";"1";"-";"2";"Vias veiculares estruturam o NUI, com acesso aos lotes, mas sem caixa de via adequadas";"1";;"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 51 a 99"
"NUI1468";"Brasília";"Brasília";"Grupo 1";"Residencial Bonsucesso - RA São Sebastião";"3 - GEOPORTAL - GDF (Novas Áreas Especiais de Interesse social)";"170";"Google Earth (2021); Tabela SUPAR/DF (2006).";"jan-21";"2";;;"4";"3";"3";"1";"3";;"1";"IPEA";"imagem de satélite";"3";"Risco 5 - Erosão (5%)";"1";"-";"2";;"4";"Predominam lotes indefinidos, com uma parte com alta ocupação (difícil identificar a divisão entre os lotes)";"1";;"2";"Déficit de drenagem pluvial e pavimentação; esgotamento por fossa.";"de 100 a 700"
