"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI0773";"Belo Horizonte";"Ibirité";"Grupo 2";"B. Boa Vista";"3.PMRF";"64";"PMRF";"2009";"2";;;"4";"3";"3";"3";"1";;"1";"FBDS";;"3";"inundação e escorregamento";"2";"-";"1";;"1";;"1";"bom";"2";;"de 51 a 99"
"NUI0760";"Belo Horizonte";"Ibirité";"Grupo 2";"B. São Judas Tadeu";"3.PMRF";"77";"PMRF";"2009";"2";;;"4";"3";"3";"2";"1";;"1";"PMRF";"Pesquisa de Campo";"3";"inundação";"4";"2";"1";;"1";;"3";"precário";"2";;"de 51 a 99"
"NUI0756";"Belo Horizonte";"Ibirité";"Grupo 2";"B. Prof. Washington Pires II";"3.PMRF";"124";"PMRF";"2009";"2";;;"4";"2";"3";"2";"1";;"1";"FBDS";;"3";"escorregamento";"3";"1";"2";;"1";;"3";"precário";"2";;"de 100 a 700"
"NUI1064";"Belo Horizonte";"Raposos";"Grupo 4";"Novo Horizonte";"3.PMRF";"200";"PMRF";"2009";"2";;;"4";"3";"3";"2";"1";;"1";"FBDS";;"2";;"1";"-";"1";;"1";;"1";;"1";;"de 100 a 700"
"NUI1020";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Vila São João Batista";"3.PMRF";"27";"PMRF";"2009";"1";;;"4";"1";"1";"1";"1";;"1";"FBDS";;"2";;"1";"-";"2";;"2";;"4";;"4";;"até 50"
"NUI1063";"Belo Horizonte";"Raposos";"Grupo 4";"Retirinho (Galo Velho)";"3.PMRF";"120";"PMRF";"2009";"2";;;"4";"2";"3";"2";"3";;"1";"FBDS";;"2";;"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
"NUI1065";"Belo Horizonte";"Raposos";"Grupo 4";"Vila Vitória";"3.PMRF";"140";"PMRF";"2009";"2";;;"4";"3";"3";"2";"1";;"1";"FBDS";;"3";;"1";"-";"1";;"2";;"1";;"2";;"de 100 a 700"
"NUI1015";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Horta Comunitária";"3.PMRF";"50";"PMRF";"2009";"1";;;"4";"3";"2";"1";"1";;"1";"FBDS";;"2";;"1";"-";"2";;"2";;"4";;"4";;"até 50"
"NUI1056";"Belo Horizonte";"Raposos";"Grupo 4";"Morro de Bicas";"3.PMRF";"1000";"PMRF";"2009";"2";;;"4";"3";"3";"2";"3";;"1";"FBDS";;"2";;"1";"-";"1";;"2";;"1";;"1";;"de 701 a 2.000"
"NUI1019";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Lico Diniz";"3.PMRF";"50";"PMRF";"2009";"1";;;"4";"2";"2";"1";"3";;"0";;;"3";"_ Alagamento (edificações abaixo do nível da rua)";"1";"-";"1";;"1";;"2";;"4";;"até 50"
"NUI1016";"Belo Horizonte";"Pedro Leopoldo";"Grupo 3";"Quinta das Palmeiras";"3.PMRF";"60";"PMRF";"2009";"1";;;"4";"1";"2";"1";"1";;"1";"FBDS";;"3";"_Alagamentos e enchentes";"1";"-";"2";;"2";;"4";;"4";;"de 51 a 99"
"NUI1213";"Belo Horizonte";"Sabará";"Grupo 2";"Borges, Jardim dos Borges, Parque Jardim dos Borges, Borba Gato, Vila Borba Gato, Amélia Moreira";"3.PLHIS";"1946";"PLHIS";"2010";"2";;;"4";"3";"1";"3";"1";;"1";"FBDS";;"3";"risco geológico";"4";"1";"2";;"1";;"2";;"2";;"de 701 a 2.000"
"NUI1051";"Belo Horizonte";"Raposos";"Grupo 4";"Varella";"3.PMRF";"300";"PMRF";"2009";"2";;;"4";"2";"3";"2";"1";;"1";"FBDS";;"3";;"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
"NUI1215";"Belo Horizonte";"Sabará";"Grupo 2";"Vila Marzagão e parte do Valparaíso";"3.PLHIS";"185";"PLHIS";"2010";"2";;;"4";"3";"3";"2";"1";;"1";"FBDS";;"2";;"4";"1";"1";;"1";;"1";;"1";;"de 100 a 700"
"NUI1214";"Belo Horizonte";"Sabará";"Grupo 2";"Taquaril";"3.PLHIS";"938";"PLHIS";"2010";"1";;;"4";"3";"1";"1";"3";;"1";"FBDS";;"3";"risco geológico/ inundação";"4";"1";"2";;"1";;"2";;"3";;"de 701 a 2.000"
"NUI1057";"Belo Horizonte";"Raposos";"Grupo 4";"Várzea do Sítio";"3.PMRF";"148";"PMRF";"2009";"2";;;"4";"2";"3";"2";"3";;"1";"FBDS";;"3";;"1";"-";"1";;"4";;"1";;"1";;"de 100 a 700"
"NUI1059";"Belo Horizonte";"Raposos";"Grupo 4";"Beco da Cleusa";"3.PMRF";"12";"PMRF";"2009";"1";;;"4";"2";"2";"2";"1";;"1";"FBDS";;"3";;"1";"-";"3";;"4";;"3";;"2";;"até 50"
"NUI1050";"Belo Horizonte";"Raposos";"Grupo 4";"São Sebastião";"3.PMRF";"55";"Censo IBGE";"2010";"2";;;"4";"2";"1";"2";"1";;"1";"FBDS";;"2";;"1";"-";"2";;"2";;"1";;"2";;"de 51 a 99"
"NUI1061";"Belo Horizonte";"Raposos";"Grupo 4";"Boa Vista";"3.PMRF";"80";"PMRF";"2009";"2";;;"4";"3";"3";"2";"3";;"1";"PMRF";"Pesquisa de Campo";"3";;"1";"-";"2";;"4";;"1";;"2";;"de 51 a 99"
"NUI1221";"Belo Horizonte";"Sabará";"Grupo 2";"Vila dos Coqueiros e parte de Vila Alto São José";"3.PLHIS";"302";"PLHIS";"2010";"2";;;"4";"1";"3";"3";"1";;"1";"FBDS";;"3";"risco geológico";"4";"1";"2";;"1";;"2";;"1";;"de 100 a 700"
"NUI1212";"Belo Horizonte";"Sabará";"Grupo 2";"Nossa Senhora de Fátima";"3.PLHIS";"3888";"PLHIS";"2010";"2";;;"4";"3";"2";"3";"1";;"1";"FBDS";;"3";"risco geológico";"4";"1";"1";;"1";;"2";;"2";;"mais que 2.000"
"NUI1223";"Belo Horizonte";"Sabará";"Grupo 2";"Rosário II";"3.PLHIS";"238";"PLHIS";"2010";"2";;;"4";"1";"3";"3";"1";;"1";"FBDS";;"3";"risco geológico/ inundação";"3";"1";"2";;"1";;"4";;"2";;"de 100 a 700"
"NUI1222";"Belo Horizonte";"Sabará";"Grupo 2";"Rosário I";"3.PLHIS";"844";"PLHIS";"2010";"2";;;"4";"1";"3";"1";"1";;"1";"FBDS";;"3";"risco geológico";"4";"1";"2";;"2";;"2";;"2";;"de 701 a 2.000"
"NUI1060";"Belo Horizonte";"Raposos";"Grupo 4";"Área invadida no Bairro Recanto Feliz";"3.PMRF";"16";"PMRF";"2009";"1";;;"4";"3";"2";"2";"1";;"1";"PMRF";"Pesquisa de Campo";"3";;"1";"-";"2";;"3";;"1";;"2";;"até 50"
"NUI1216";"Belo Horizonte";"Sabará";"Grupo 2";"parte de Nações Unidas, de Eugênio Rosi, de Vila Santa Rita e Vila São Sebastião";"3.PLHIS";"423";"PLHIS";"2010";"2";;;"4";"3";"3";"3";"1";;"1";"FBDS";;"3";"risco geológico";"4";"1";"1";;"1";;"1";;"1";;"de 100 a 700"
"NUI1211";"Belo Horizonte";"Sabará";"Grupo 2";"Novo Alvorada e Barraginha";"3.PLHIS";"745";"PLHIS";"2010";"1";;;"4";"3";"1";"3";"1";;"1";"FBDS";;"3";"risco geológico";"4";"1";"2";;"2";;"2";;"3";;"de 701 a 2.000"
