"V0";"V1";"V2a";"V2b";"V3a";"V3b";"V4a";"V4b";"V4c";"V5a";"V5b";"V5c";"V6";"V7";"V8";"V9";"V10a";"V10b";"V11a";"V11b";"V11c";"V12a";"V12b";"V13a";"V13b";"V14a";"V14b";"V15a";"V15b";"V16a";"V16b";"V17";"V18";"V19"
"NUI4848";"Recife";"Recife";"Grupo 1";"Vila Um Por Todos";"1";"275";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"2";;"3";"2";"2";;"2";;"3";;"3";;"de 100 a 700"
"NUI4837";"Recife";"Recife";"Grupo 1";"Vila Miguel Arraes";"1";"83";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"2";"1";;"0";;;"3";"alagamento";"3";"1";"1";;"2";;"3";;"3";;"de 51 a 99"
"NUI4838";"Recife";"Recife";"Grupo 1";"Vila Miguel Arraes/ Beirinha";"1";"183";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"3";"1";;"0";;;"2";;"3";"2";"2";;"1";;"1";;"1";;"de 100 a 700"
"NUI4835";"Recife";"Recife";"Grupo 1";"Vila La Roque";"1";"586";"CIS/Prefeitura";"2014";"2";;;"4";"3";"3";"2";"1";;"1";"FBDS";;"3";"alagamento";"4";"2";"2";;"2";;"2";;"2";;"de 100 a 700"
"NUI4836";"Recife";"Recife";"Grupo 1";"Vila Macionila";"1";"106";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"3";"3";;"0";;;"2";;"4";"2";"2";;"2";;"1";;"1";;"de 100 a 700"
"NUI4841";"Recife";"Recife";"Grupo 1";"Vila Nova Vida";"1";"129";"CIS/Prefeitura";"2014";"2";;;"4";"3";"3";"2";"1";;"1";"FBDS";;"2";;"3";"1";"2";;"1";;"1";;"1";;"de 100 a 700"
"NUI4842";"Recife";"Recife";"Grupo 1";"Vila Redenção";"1";"529";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"1";;"1";"FBDS";;"3";"alagamento";"3";"2";"2";;"1";;"1";;"1";;"de 100 a 700"
"NUI4839";"Recife";"Recife";"Grupo 1";"Vila Monarca";"1";"249";"CIS/Prefeitura";"2014";"1";;;"4";"3";"3";"1";"1";;"0";;;"3";"escorregam";"3";"2";"2";;"1";;"1";;"1";;"de 100 a 700"
"NUI4840";"Recife";"Recife";"Grupo 1";"Vila N. S de Fátima";"1";"38";"CIS/Prefeitura";"2014";"1";;;"2";"1";"3";"2";"1";;"0";;;"2";;"3";"1";"2";;"1";;"1";;"1";"ocupação no leito de uma rua de um loteamento regular";"até 50"
"NUI4930";"Recife";"Vicência";"Grupo 3";"Tejo II";"1";"42";"Censo IBGE";"2010";"2";;;"2";"2";"1";"4";"1";;"0";;;"2";;"1";"-";"2";;"3";;"1";;"2";;"até 50"
"NUI4931";"Recife";"Vicência";"Grupo 3";"Assentamento Morojozinho";"1";"71";"Censo IBGE";"2010";"1";;;"2";"3";"1";"4";"1";;"0";;;"2";;"1";"-";"2";;"3";;"3";;"3";;"de 51 a 99"
"NUI4891";"Recife";"Timbaúba";"Grupo 3";"Loteamento Ozanan (Queimadas)";"1";"1447";"Prefeitura";"2020";"2";;;"4";"1";"3";"2";"1";;"1";"FBDS";;"2";;"1";"-";"2";;"3";;"2";;"3";;"de 701 a 2.000"
"NUI4929";"Recife";"Vicência";"Grupo 3";"Assentamento Barrinha";"1";"234";"Censo IBGE";"2010";"1";;;"2";"3";"1";"4";"1";;"0";;;"2";;"1";"-";"4";;"3";;"3";;"3";;"de 100 a 700"
"NUI4934";"Recife";"Vicência";"Grupo 3";"Loteamento Vital Maranhão Filho";"1";"126";"Censo IBGE";"2010";"2";;;"3";"3";"2";"4";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
"NUI4935";"Recife";"Vicência";"Grupo 3";"Rua do Sapo";"1";"84";"Censo IBGE";"2010";"2";;;"3";"3";"2";"4";"1";;"1";"FBDS";;"2";;"1";"-";"1";;"1";;"2";;"2";;"de 51 a 99"
"NUI4932";"Recife";"Vicência";"Grupo 3";"Loteamento Clotilde Wanderley";"1";"2";"Censo IBGE";"2010";"3";;;"3";"3";"1";"4";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"1";;"até 50"
"NUI4933";"Recife";"Vicência";"Grupo 3";"Loteamento João Negromonte";"1";"121";"Censo IBGE";"2010";"2";;;"3";"3";"2";"4";"1";;"0";"FBDS";"menos de 1%";"2";;"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
"NUI4885";"Recife";"São Vicente Ferrer";"Grupo 4";"Povoado de Santa Terezinha";"1";"95";"Censo IBGE";"2010";"4";;;"3";"1";"1";"4";"1";;"0";;;"2";;"1";"-";"4";;"3";;"3";;"3";;"de 51 a 99"
"NUI4886";"Recife";"São Vicente Ferrer";"Grupo 4";"Povoado Chã do Esquecido";"1";"238";"Censo IBGE";"2010";"4";;;"3";"3";"1";"4";"1";;"1";"FBDS";;"2";;"1";"-";"4";;"3";;"3";;"3";;"de 100 a 700"
"NUI4883";"Recife";"São Vicente Ferrer";"Grupo 4";"Povoado Alto do Cruzeiro";"1";"11";"Censo IBGE";"2010";"1";;;"2";"3";"2";"4";"1";;"0";;;"2";;"1";"-";"4";;"3";;"3";;"3";;"até 50"
"NUI4884";"Recife";"São Vicente Ferrer";"Grupo 4";"Povoado Chã do Aleixo";"1";"10";"Censo IBGE";"2010";"1";;;"3";"3";"3";"4";"1";;"0";;;"2";;"1";"-";"4";;"3";;"2";;"3";;"até 50"
"NUI4889";"Recife";"Timbaúba";"Grupo 3";"Loteamento Sapucaia";"1";"1425";"Prefeitura";"2020";"2";;;"4";"3";"2";"2";"1";;"1";"IPEA";"imagem de satélite";"2";;"1";"-";"1";;"1";;"1";;"2";;"de 701 a 2.000"
"NUI4890";"Recife";"Timbaúba";"Grupo 3";"Loteamento Cesar Augusto";"1";"209";"Prefeitura";"2020";"2";;;"4";"3";"3";"2";"1";;"1";"FBDS";;"2";;"1";"-";"2";;"2";;"2";;"2";;"de 100 a 700"
"NUI4887";"Recife";"São Vicente Ferrer";"Grupo 4";"Alto do Cruzeiro - Siriji";"1";"66";"Censo IBGE";"2010";"4";;;"3";"3";"1";"4";"1";;"1";"FBDS";;"2";;"1";"-";"2";;"3";;"1";;"3";;"de 51 a 99"
"NUI4888";"Recife";"São Vicente Ferrer";"Grupo 4";"Loteamento Novo Siriji";"1";"224";"Censo IBGE";"2010";"4";;;"3";"3";"1";"4";"1";;"1";"FBDS";;"2";;"1";"-";"2";;"2";;"1";;"2";;"de 100 a 700"
"NUI4877";"Recife";"São Vicente Ferrer";"Grupo 4";"Loteamento Aurora - Siriji";"1";"128";"Censo IBGE";"2010";"4";;;"3";"3";"3";"4";"1";;"0";;;"2";;"1";"-";"4";;"3";;"3";;"4";;"de 100 a 700"
"NUI4878";"Recife";"São Vicente Ferrer";"Grupo 4";"Loteamento Edson Regis(Rei do Baião)";"1";"124";"Censo IBGE";"2010";"1";;;"3";"3";"3";"4";"1";;"1";"IPEA";"imagem de satélite";"3";"alagamento";"1";"-";"4";;"4";;"3";;"4";;"de 100 a 700"
"NUI4874";"Recife";"São Lourenço da Mata";"Grupo 2";"Loteamento Santana";"1";"32";"Censo IBGE";"2010";"1";;;"2";"2";"2";"2";"1";;"0";;;"1";;"1";"-";"3";;"3";;"3";;"3";;"até 50"
"NUI4875";"Recife";"São Lourenço da Mata";"Grupo 2";"Ocupação em Área Verde do Loteamento Recanto de Aldeia";"1";"2";"Censo IBGE";"2010";"1";;;"2";"2";"1";"2";"1";;"1";"FBDS";;"1";;"1";"-";"3";;"3";;"3";;"3";;"até 50"
"NUI4881";"Recife";"São Vicente Ferrer";"Grupo 4";"Loteamento São Vicente";"1";"79";"Censo IBGE";"2010";"2";;;"2";"1";"3";"4";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"2";;"de 51 a 99"
"NUI4882";"Recife";"São Vicente Ferrer";"Grupo 4";"Loteamento Padre Nazareno";"1";"80";"Censo IBGE";"2010";"2";;;"3";"1";"3";"4";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"2";;"de 51 a 99"
"NUI4879";"Recife";"São Vicente Ferrer";"Grupo 4";"Bairro do Recreio";"1";"288";"Censo IBGE";"2010";"1";;;"3";"3";"3";"4";"1";;"0";;;"2";;"1";"-";"2";;"2";;"2";;"4";;"de 100 a 700"
"NUI4880";"Recife";"São Vicente Ferrer";"Grupo 4";"Loteamento Miguel Arraes";"1";"42";"Censo IBGE";"2010";"2";;;"2";"1";"3";"4";"1";;"0";;;"2";;"1";"-";"1";;"1";;"1";;"2";;"até 50"
"NUI4857";"Recife";"São Lourenço da Mata";"Grupo 2";"Ocupação Loteamento Nova Tiúma";"1";"88";"Censo IBGE";"2010";"1";;;"3";"2";"3";"2";"1";;"1";"FBDS";;"1";;"1";"-";"2";;"2";;"2";;"3";;"de 51 a 99"
"NUI4869";"Recife";"São Lourenço da Mata";"Grupo 2";"Ocupação do entorno do Loteamento Engenho Capibaribe";"1";"473";"Censo IBGE";"2010";"1";;;"3";"2";"3";"2";"1";;"1";"FBDS";;"1";;"1";"-";"3";;"3";;"3";;"3";;"de 100 a 700"
"NUI4867";"Recife";"São Lourenço da Mata";"Grupo 2";"Matriz da Luz";"1";"1302";"Censo IBGE";"2010";"1";;;"4";"3";"1";"3";"4";;"1";"FBDS";;"1";;"1";"-";"2";;"2";;"2";;"3";;"de 701 a 2.000"
"NUI4868";"Recife";"São Lourenço da Mata";"Grupo 2";"Ocupação Beira Rio";"1";"181";"Censo IBGE";"2010";"1";;;"2";"1";"3";"3";"1";;"1";"FBDS";;"1";;"1";"-";"3";;"3";;"3";;"3";;"de 100 a 700"
"NUI4872";"Recife";"São Lourenço da Mata";"Grupo 2";"Loteamento Parque Residencial Caiará";"1";"383";"Censo IBGE";"2010";"2";;;"3";"2";"2";"2";"1";;"0";;;"1";;"1";"-";"1";;"2";;"1";;"3";;"de 100 a 700"
"NUI4873";"Recife";"São Lourenço da Mata";"Grupo 2";"Loteamento Helena Pereira de Moraes";"1";"413";"Censo IBGE";"2010";"2";;;"3";"2";"2";"2";"1";;"0";;;"1";;"1";"-";"1";;"2";;"2";;"3";;"de 100 a 700"
"NUI4870";"Recife";"São Lourenço da Mata";"Grupo 2";"Ocupação Irregular em Terreno Privado";"1";"80";"Censo IBGE";"2010";"1";;;"4";"3";"3";"2";"1";;"0";;;"1";;"1";"-";"4";;"3";;"3";;"3";;"de 51 a 99"
"NUI4871";"Recife";"São Lourenço da Mata";"Grupo 2";"Loteamento Vila Dourada";"1";"277";"Censo IBGE";"2010";"2";;;"4";"3";"2";"2";"1";;"1";"FBDS";;"1";;"1";"-";"1";;"1";;"1";;"2";;"de 100 a 700"
"NUI4921";"Recife";"Vitória de Santo Antão";"Grupo 2";"Campinas";"1";"46";"Censo IBGE";"2010";"1";;;"4";"3";"1";"4";"1";;"0";;;"1";;"2";"-";"3";;"4";;"2";;"3";;"até 50"
"NUI4922";"Recife";"Vitória de Santo Antão";"Grupo 2";"Bairro Lagoa Redonda";"1";"1801";"Censo IBGE";"2010";"2";;;"4";"3";"3";"4";"1";;"1";"IPEA";"leitura de imagem";"1";;"2";"-";"2";;"2";;"2";;"3";;"de 701 a 2.000"
"NUI4919";"Recife";"Vitória de Santo Antão";"Grupo 2";"Ocupação Doutor Alvinho";"1";"178";"Censo IBGE";"2010";"1";;;"4";"2";"3";"4";"1";;"1";"FBDS";;"1";;"4";"2";"3";;"4";;"2";;"3";;"de 100 a 700"
"NUI4920";"Recife";"Vitória de Santo Antão";"Grupo 2";"Campo do 13";"1";"39";"Censo IBGE";"2010";"1";;;"3";"2";"3";"4";"1";;"1";"FBDS";;"1";;"3";"2";"4";;"4";;"2";;"3";;"até 50"
"NUI4925";"Recife";"Vitória de Santo Antão";"Grupo 2";"Trecho de Cajueiro";"1";"639";"CADUNICO";"2020";"2";;;"4";"3";"1";"4";"1";;"0";;;"1";;"2";"-";"2";;"2";;"2";;"2";;"de 100 a 700"
"NUI4902";"Recife";"Vitória de Santo Antão";"Grupo 2";"Caiçara 3";"1";"62";"CADUNICO";"2020";"2";;;"4";"2";"2";"4";"1";;"0";;;"1";;"2";"-";"1";;"2";;"1";;"2";;"de 51 a 99"
"NUI4923";"Recife";"Vitória de Santo Antão";"Grupo 2";"Maués";"1";"561";"Censo IBGE";"2010";"1";;;"4";"3";"3";"4";"1";;"1";"FBDS";;"1";;"2";"-";"3";;"4";;"2";;"3";;"de 100 a 700"
"NUI4924";"Recife";"Vitória de Santo Antão";"Grupo 2";"Matadouro";"1";"929";"Censo IBGE";"2010";"2";;;"4";"3";"3";"4";"1";;"1";"FBDS";;"1";;"2";"-";"2";;"2";;"2";;"2";;"de 701 a 2.000"
"NUI4913";"Recife";"Vitória de Santo Antão";"Grupo 2";"Trecho 2 do Bairro de Santana";"1";"49";"Censo IBGE";"2010";"2";;;"4";"2";"1";"4";"1";;"0";;;"1";;"2";"-";"2";;"2";;"2";;"3";;"até 50"
"NUI4914";"Recife";"Vitória de Santo Antão";"Grupo 2";"Trecho 3 do Bairro de Santana";"1";"134";"CADUNICO";"2020";"2";;;"4";"2";"2";"4";"1";;"1";"FBDS";;"1";;"2";"-";"2";;"2";;"2";;"3";;"de 100 a 700"
"NUI4911";"Recife";"Vitória de Santo Antão";"Grupo 2";"Loteamento Veneza";"1";"120";"Censo IBGE";"2010";"2";"e 3";"85% e 15%";"4";"2";"2";"4";"1";;"1";"FBDS";;"1";;"2";"-";"1";;"2";;"1";;"3";;"de 100 a 700"
"NUI4912";"Recife";"Vitória de Santo Antão";"Grupo 2";"Trecho 1 do Bairro de Santana";"1";"362";"Censo IBGE";"2010";"2";;;"4";"3";"2";"4";"1";;"1";"FBDS";;"1";;"2";"-";"1";;"2";;"1";;"2";;"de 100 a 700"
"NUI4917";"Recife";"Vitória de Santo Antão";"Grupo 2";"Trecho 2 do Bairro de Água Branca";"1";"208";"Censo IBGE";"2010";"1";;;"4";"2";"2";"4";"1";;"1";"FBDS";;"1";;"4";"1";"2";;"4";;"2";;"3";;"de 100 a 700"
"NUI4918";"Recife";"Vitória de Santo Antão";"Grupo 2";"Bairro do Maranhão";"1";"250";"Censo IBGE";"2010";"1";;;"4";"2";"2";"4";"1";;"1";"FBDS";;"1";;"4";"2";"2";;"1";;"2";;"3";;"de 100 a 700"
"NUI4915";"Recife";"Vitória de Santo Antão";"Grupo 2";"Trecho 4 do Bairro de Santana";"1";"248";"Censo IBGE";"2010";"2";;;"4";"2";"2";"4";"1";;"1";"FBDS";;"1";;"2";"-";"2";;"2";;"2";;"3";;"de 100 a 700"
"NUI4916";"Recife";"Vitória de Santo Antão";"Grupo 2";"Trecho 1 do Bairro de Água Branca";"1";"674";"CADUNICO";"2020";"1";;;"4";"3";"2";"4";"1";;"1";"FBDS";;"1";;"2";"-";"3";;"4";;"2";;"3";;"de 100 a 700"
"NUI4905";"Recife";"Vitória de Santo Antão";"Grupo 2";"Loteamento Lídia Queiroz";"1";"1644";"Censo IBGE";"2010";"1";"e 2";"10% e 90%";"4";"3";"3";"4";"1";;"0";;;"1";;"2";"-";"2";;"2";;"2";;"3";;"de 701 a 2.000"
"NUI4906";"Recife";"Vitória de Santo Antão";"Grupo 2";"Sítio do Meio";"1";"470";"Censo IBGE";"2010";"1";;;"4";"3";"3";"4";"1";;"0";;;"1";;"2";"-";"2";;"2";;"2";;"3";;"de 100 a 700"
"NUI4903";"Recife";"Vitória de Santo Antão";"Grupo 2";"Belo Horizonte";"1";"282";"Censo IBGE";"2010";"1";"e 2";"20% e 80%";"4";"2";"2";"4";"1";;"0";;;"1";;"2";"-";"2";;"2";;"1";;"2";;"de 100 a 700"
"NUI4904";"Recife";"Vitória de Santo Antão";"Grupo 2";"Vista Bela";"1";"229";"Aglomerados Subnormais 2019";"2020";"1";;;"4";"2";"2";"4";"1";;"0";;;"1";;"2";"-";"2";;"4";;"2";;"3";;"de 100 a 700"
"NUI4909";"Recife";"Vitória de Santo Antão";"Grupo 2";"Bairro Jardim Ipiranga";"1";"1271";"Censo IBGE";"2010";"2";;;"4";"2";"3";"4";"1";;"1";"FBDS";;"1";;"2";"-";"2";;"2";;"2";;"3";;"de 701 a 2.000"
"NUI4910";"Recife";"Vitória de Santo Antão";"Grupo 2";"Loteamento de Bau";"1";"80";"CADUNICO";"2020";"2";;;"4";"3";"1";"4";"1";;"0";"FBDS";"menos de 1%";"1";;"2";"-";"2";;"2";;"2";;"3";;"de 51 a 99"
"NUI4907";"Recife";"Vitória de Santo Antão";"Grupo 2";"Loteamento Mário Bezerra";"1";"1378";"Censo IBGE";"2010";"2";;;"4";"3";"3";"4";"1";;"0";;;"1";;"2";"-";"2";;"2";;"2";;"3";;"de 701 a 2.000"
"NUI4908";"Recife";"Vitória de Santo Antão";"Grupo 2";"Bairro Real Vitória";"1";"1930";"Censo IBGE";"2010";"1";"e 2";"30% e 70%";"4";"3";"3";"4";"1";;"0";;;"1";;"2";"-";"2";;"2";;"2";;"3";;"de 701 a 2.000"
"NUI4938";"Recife";"Vicência";"Grupo 3";"Assentamento Campina Verde";"1";"23";"Censo IBGE";"2010";"2";;;"3";"3";"1";"4";"1";;"0";"FBDS";"menos de 1%";"2";;"1";"-";"1";;"1";;"1";;"2";;"até 50"
"NUI4897";"Recife";"Vitória de Santo Antão";"Grupo 2";"Irã";"1";"170";"Censo IBGE";"2010";"1";;;"4";"2";"2";"4";"1";;"0";;;"1";;"4";"2";"2";;"2";;"2";;"3";;"de 100 a 700"
"NUI4936";"Recife";"Vicência";"Grupo 3";"Rua da Areia";"1";"135";"Censo IBGE";"2010";"2";;;"3";"3";"3";"4";"1";;"1";"FBDS";;"2";;"1";"-";"1";;"2";;"2";;"2";;"de 100 a 700"
